file,path,expected,found,text_ok,misdecode,dup,ms,tags
c000202_2,2stage,2,1,1,0,0,4.430,mixed;clutter-falsepattern;mod-5px+;sym-QR;rot-free;sym-CODE128;inverted;printdefect;rot-small;quietzone;underexposed;sym-CODE_128;sym-QR_CODE;n2;img-ok
c000203_3,2stage,3,2,2,0,0,1.806,mixed;clutter-warehouse;mod-3px;sym-CODE39;lowcontrast;perspective-strong;sym-CODE128;inverted;mod-5px+;sym-EAN13;damaged;quietzone;sym-CODE_128;sym-CODE_39;sym-EAN_13;n3;img-ok
c000204_1,2stage,1,0,0,0,0,376.394,mixed;clutter-falsepattern;mod-5px+;sym-QR;rot-small;dirty;noise;sym-QR_CODE;n1;img-ok
c000205_1,2stage,1,0,0,0,0,1056.672,mixed;clutter-warehouse;mod-3px;sym-ITF;lowcontrast;damaged;perspective-strong;overexposed;n1;img-ok
c000206_1,2stage,1,1,1,0,0,48.705,mixed;clutter-falsepattern;mod-3px;sym-CODE128;inverted;quietzone;shadow;overexposed;sym-CODE_128;n1;img-ok
c000208_3,2stage,3,1,1,0,0,29.853,mixed;clutter-warehouse;mod-3px;sym-CODE128;damaged;rot-ortho;mod-5px+;sym-QR;rot-small;dirty;sym-CODE_128;sym-QR_CODE;n3;img-ok
c000209_1,2stage,1,1,1,0,0,6.999,mixed;clutter-label;mod-5px+;sym-CODE128;perspective;curved;shadow;sym-CODE_128;n1;img-ok
c000210_1,2stage,1,1,1,0,0,15.808,mixed;mod-5px+;sym-QR;dirty;sym-QR_CODE;n1;img-ok
c000211_1,2stage,1,0,0,0,0,548.734,mixed;clutter-falsepattern;mod-5px+;sym-QR;dpm;printdefect;perspective;noise;sym-QR_CODE;n1;img-ok
c000213_2,2stage,2,1,1,0,0,56.272,mixed;clutter-warehouse;mod-5px+;sym-CODE128;rot-small;mod-3px;perspective-strong;shadow;underexposed;sym-CODE_128;n2;img-ok
c000214_2,2stage,2,2,2,0,0,16.524,mixed;mod-5px+;sym-QR;lowcontrast;printdefect;perspective-strong;shadow;sym-QR_CODE;n2;img-ok
c000216_1,2stage,1,1,1,0,0,1.989,mixed;clutter-label;mod-3px;sym-ITF;rot-small;dirty;n1;img-ok
c000218_1,2stage,1,1,1,0,0,1.863,mixed;mod-5px+;sym-ITF;rot-ortho;perspective;glare;n1;img-ok
c000221_1,2stage,1,1,1,0,0,3.999,mixed;mod-3px;sym-CODE39;damaged;quietzone;sym-CODE_39;n1;img-ok
c000224_10,2stage,10,2,2,0,0,10.702,mixed;mod-3px;sym-EAN13;lowcontrast;rot-ortho;sym-CODE128;rot-free;sym-QR;inverted;printdefect;mod-5px+;perspective;rot-small;damaged;dirty;shadow;noise;sym-CODE_128;sym-EAN_13;sym-QR_CODE;n10;img-ok
c000225_1,2stage,1,0,0,0,0,332.419,mixed;clutter-label;mod-3px;sym-EAN13;lowcontrast;inverted;rot-free;curved;overexposed;sym-EAN_13;n1;img-ok
c000226_8,2stage,8,2,2,0,0,2.039,mixed;mod-3px;sym-EAN13;lowcontrast;mod-5px+;sym-QR;inverted;printdefect;rot-small;perspective;sym-CODE39;sym-CODE128;rot-ortho;dirty;sym-CODE_128;sym-CODE_39;sym-EAN_13;sym-QR_CODE;n8;img-ok
c000227_1,2stage,1,1,1,0,0,39.723,mixed;clutter-falsepattern;mod-5px+;sym-CODE128;lowcontrast;underexposed;sym-CODE_128;n1;img-ok
